City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Beloha,MG,82.02,clear sky,-25.1667,45.05,
6,Rikitea,PF,77.49,few clouds,-23.1203,-134.9692,People ThankYou
14,Port Alfred,ZA,70.18,clear sky,-33.5906,26.891,The Halyards Hotel
15,Sulangan,PH,81.54,light rain,11.1373,123.7228,Maia's Beach Resort
16,Hambantota,LK,80.67,broken clouds,6.1241,81.1185,Bungalow 63
18,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
20,Saint-Philippe,RE,80.19,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,Kapaa,US,73.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Kruisfontein,ZA,72.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
24,Tautira,PF,81.61,light rain,-17.7333,-149.15,Pension Oaoa
25,Mersing,MY,80.51,scattered clouds,2.4312,103.8405,Timotel Hotel
31,Paraiso,CR,71.96,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
40,New Braunfels,US,70.54,overcast clouds,29.703,-98.1245,Courtyard by Marriott New Braunfels River Village
42,Cape Town,ZA,70.88,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
43,Itarema,BR,83.79,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
46,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
55,Acapulco,MX,76.33,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
57,Faanui,PF,82.0,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
58,Lorengau,PG,80.13,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
60,Atuona,PF,79.41,few clouds,-9.8,-139.0333,Villa Enata
62,Meghri,AM,73.08,scattered clouds,38.9029,46.2446,Haer B&B
63,Georgetown,MY,81.95,moderate rain,5.4112,100.3354,Cititel Penang
64,Bredasdorp,ZA,73.94,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
67,Umm Lajj,SA,80.49,overcast clouds,25.0213,37.2685,Moon light Furnished Units
69,Kumbo,CM,80.58,overcast clouds,6.2,10.6667,Western Inn Resort
70,Hermanus,ZA,70.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
75,Padilla,CO,71.17,broken clouds,3.2204,-76.3139,La Granadina
79,San Patricio,US,75.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
80,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
85,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
88,Prainha,BR,73.89,moderate rain,-1.8,-53.48,Casa Rocha
89,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
90,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
95,Puerto Ayora,EC,79.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
96,Sinnamary,GF,79.18,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
99,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
104,Castro,BR,76.59,few clouds,-24.7911,-50.0119,CHACARA BAILLY
105,Basco,PH,75.02,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
107,Puerto Escondido,MX,80.85,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
113,Mayumba,GA,84.2,light rain,-3.432,10.6554,LIKWALE LODGE
115,Aripuana,BR,79.03,overcast clouds,-9.1667,-60.6333,
116,Karratha,AU,84.54,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
117,Pangkalanbuun,ID,75.29,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
132,Abu Kamal,SY,84.54,broken clouds,34.4506,40.9171,محطة التلفاز
133,Kahului,US,73.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
135,Zhob,PK,77.4,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
136,Muisne,EC,78.94,overcast clouds,0.6,-80.0333,Quinta Samay
138,Jutai,BR,83.88,few clouds,-5.1833,-68.9,
141,Port Elizabeth,ZA,75.09,few clouds,-33.918,25.5701,39 On Nile Guest House
143,Isangel,VU,79.47,broken clouds,-19.55,169.2667,Tanna Lodge
144,Sao Jose Da Coroa Grande,BR,83.95,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
152,Sainte-Anne,GP,82.44,few clouds,16.2333,-61.3667,HOTEL LE ROTABAS
156,Formosa,AR,71.58,overcast clouds,-26.1775,-58.1781,Asterión Hotel
162,Mareeba,AU,74.12,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
163,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
166,Hithadhoo,MV,84.15,overcast clouds,-0.6,73.0833,Scoop Guest House
176,Santa Isabel Do Rio Negro,BR,81.36,overcast clouds,-0.4139,-65.0192,Hotel GSA
178,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
179,Biak,ID,76.95,overcast clouds,-0.9131,122.8766,Penginapan Kim
180,Gigmoto,PH,79.2,overcast clouds,13.7796,124.39,Cj's Travellers Inn
181,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
182,Saldanha,ZA,71.65,light rain,-33.0117,17.9442,Blue Bay Lodge
183,Mabaruma,GY,80.33,broken clouds,8.2,-59.7833,Monty Brooms Guest House
187,Puerto Gaitan,CO,75.09,overcast clouds,4.3133,-72.0816,Brisas del Yucao
