City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pasni,PK,2022-03-31 14:38:40,25.2631,63.471,301.12,41,0,8.3
1,Pasni,PK,2022-04-01 00:07:15,25.2631,63.471,299.75,28,0,6.79
2,Rikitea,PF,2022-04-01 00:08:42,-23.1203,-134.9692,298.1,71,38,7.79
3,Vaini,TO,2022-04-01 00:08:42,-21.2,-175.2,300.46,76,100,3.21
4,Port Elizabeth,ZA,2022-04-01 00:08:42,-33.918,25.5701,292.09,81,95,5.81
5,Ushuaia,AR,2022-04-01 00:08:43,-54.8,-68.3,280.52,85,99,3.69
6,Cidreira,BR,2022-04-01 00:08:43,-30.1811,-50.2056,288.87,69,68,2.09
7,Hermanus,ZA,2022-04-01 00:08:43,-34.4187,19.2345,288.6,69,98,4.41
8,Sao Filipe,CV,2022-04-01 00:08:44,14.8961,-24.4956,295.58,73,20,3.66
9,Tocopilla,CL,2022-04-01 00:08:44,-22.092,-70.1979,292.81,74,19,3.23
10,Tautira,PF,2022-04-01 00:08:45,-17.7333,-149.15,300.8,72,33,5.33
11,Cordoba,AR,2022-04-01 00:08:45,-31.4135,-64.1811,287.27,62,0,4.12
12,Inegol,TR,2022-04-01 00:08:45,40.0781,29.5133,288.75,55,100,3.47
13,Punta Arenas,CL,2022-04-01 00:07:46,-53.15,-70.9167,283.21,62,75,9.26
14,Batie,BF,2022-04-01 00:08:46,9.8833,-2.9167,302.52,48,40,3.55
15,New Norfolk,AU,2022-04-01 00:08:46,-42.7826,147.0587,287.99,63,100,0.89
16,Bondo,CD,2022-04-01 00:08:46,3.8146,23.6866,297.4,61,85,1.31
17,Pisco,PE,2022-04-01 00:05:09,-13.7,-76.2167,293.18,73,0,1.54
18,Albany,US,2022-04-01 00:04:56,42.6001,-73.9662,288.37,91,100,2.98
19,Vila,PT,2022-04-01 00:08:47,42.0304,-8.1588,277.43,83,59,2.58
20,Port Alfred,ZA,2022-04-01 00:08:47,-33.5906,26.891,290.47,94,100,2.24
21,Airai,TL,2022-04-01 00:08:48,-8.9266,125.4092,293.06,60,4,0.58
22,Barrow,US,2022-04-01 00:08:48,71.2906,-156.7887,251.16,71,0,10.29
23,Hobart,AU,2022-04-01 00:06:42,-42.8794,147.3294,288.18,76,75,2.57
24,Morondava,MG,2022-04-01 00:08:48,-20.2833,44.2833,296.74,57,0,5.09
25,Busselton,AU,2022-04-01 00:04:07,-33.65,115.3333,294.48,78,16,5.56
26,Pacific Grove,US,2022-04-01 00:08:49,36.6177,-121.9166,292.52,76,40,4.12
27,Tianpeng,CN,2022-04-01 00:08:49,30.9866,103.9393,283.38,87,100,2.36
28,Srednekolymsk,RU,2022-04-01 00:08:50,67.45,153.6833,254.57,87,96,1.59
29,Bhanjanagar,IN,2022-04-01 00:08:50,19.9333,84.5833,297.7,73,10,0.4
30,East London,ZA,2022-04-01 00:08:50,-33.0153,27.9116,292.74,92,100,3.21
31,Qaanaaq,GL,2022-04-01 00:08:51,77.484,-69.3632,269.07,70,100,1.23
32,Ulundi,ZA,2022-04-01 00:08:51,-28.3352,31.4162,290.76,92,0,1.58
33,Atuona,PF,2022-04-01 00:08:51,-9.8,-139.0333,299.11,74,19,3.53
34,Pemberton,CA,2022-04-01 00:07:59,50.3164,-122.8027,280.35,78,98,1.42
35,Butaritari,KI,2022-04-01 00:08:52,3.0707,172.7902,300.58,79,38,6.88
36,La Mata,PA,2022-04-01 00:08:52,8.0833,-80.8833,298.96,83,73,2.11
37,Morbach,DE,2022-04-01 00:08:52,49.8167,7.1167,275.79,89,75,2.57
