City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-04-03 21:58:07,42.097,-79.2353,35.02,68,99,8.99
1,Chokurdakh,RU,2022-04-03 22:02:16,70.6333,147.9167,-14.85,99,77,3.13
2,Ushuaia,AR,2022-04-03 22:02:17,-54.8,-68.3,38.86,87,75,20.71
3,Chernenko,RU,2022-04-03 22:02:17,44.365,39.3103,46.35,89,100,13.29
4,East London,ZA,2022-04-03 21:55:55,-33.0153,27.9116,71.11,88,69,12.5
5,Butaritari,KI,2022-04-03 22:02:18,3.0707,172.7902,81.46,70,86,14.74
6,Gossas,SN,2022-04-03 22:02:18,14.4912,-16.0642,68.43,57,76,14.41
7,San Cristobal,VE,2022-04-03 22:00:47,7.7669,-72.225,78.93,56,46,4.36
8,Cayenne,GF,2022-04-03 21:54:37,4.9333,-52.3333,80.1,1,100,5.75
9,Komsomolskiy,UZ,2022-04-03 22:02:18,40.4272,71.7189,60.17,40,100,3.85
10,Bluff,NZ,2022-04-03 22:02:19,-46.6,168.3333,56.44,74,99,10.25
11,Kawalu,ID,2022-04-03 22:02:19,-7.3817,108.2082,72.14,94,100,1.57
12,Yellowknife,CA,2022-04-03 21:50:30,62.456,-114.3525,23.41,63,75,13.8
13,Vanimo,PG,2022-04-03 22:02:20,-2.6741,141.3028,78.93,86,100,2.89
14,Rikitea,PF,2022-04-03 22:02:20,-23.1203,-134.9692,76.8,67,58,10.07
15,Avarua,CK,2022-04-03 22:02:20,-21.2078,-159.775,80.65,78,20,5.75
16,Kapaa,US,2022-04-03 22:02:21,22.0752,-159.319,80.58,76,60,7.0
17,Tuktoyaktuk,CA,2022-04-03 22:02:21,69.4541,-133.0374,-9.81,91,98,5.23
18,Mataura,NZ,2022-04-03 22:02:22,-46.1927,168.8643,54.52,79,95,1.72
19,Batemans Bay,AU,2022-04-03 21:58:20,-35.7167,150.1833,63.1,65,99,5.75
20,Laguna,US,2022-04-03 22:02:22,38.421,-121.4238,82.18,19,0,8.05
21,Gigmoto,PH,2022-04-03 22:02:22,13.7796,124.39,78.42,86,89,13.18
22,Alta Floresta,BR,2022-04-03 21:58:21,-9.8756,-56.0861,74.08,93,31,2.28
23,Daru,PG,2022-04-03 21:59:33,-9.0763,143.2092,81.19,78,26,5.64
24,Semnan,IR,2022-04-03 22:02:23,35.5729,53.3971,66.51,23,0,2.24
25,Starokozache,UA,2022-04-03 22:02:23,46.3372,29.9853,39.22,68,99,15.26
26,Dwarka,IN,2022-04-03 22:02:24,22.2394,68.9678,77.81,71,1,10.07
27,Denpasar,ID,2022-04-03 22:02:24,-8.65,115.2167,76.71,100,20,2.3
28,Isangel,VU,2022-04-03 21:52:47,-19.55,169.2667,84.31,84,75,4.61
29,Victoria,HK,2022-04-03 22:02:24,22.2855,114.1577,64.33,60,0,8.99
30,Key West,US,2022-04-03 22:00:04,24.5557,-81.7826,80.01,74,32,8.66
31,Roma,US,2022-04-03 21:53:24,43.2128,-75.4557,38.95,93,100,11.01
32,Noumea,NC,2022-04-03 22:02:25,-22.2763,166.4572,82.99,99,92,10.36
33,Sinegorye,RU,2022-04-03 22:02:25,62.0788,150.477,2.17,87,24,1.3
34,Waingapu,ID,2022-04-03 22:02:26,-9.6567,120.2641,75.63,82,37,4.16
35,Paraiso,CR,2022-04-03 22:02:26,9.8383,-83.8656,70.88,90,94,2.86
36,Missoula,US,2022-04-03 22:00:11,47.0166,-113.8009,49.64,29,99,13.13
37,Hermanus,ZA,2022-04-03 22:02:27,-34.4187,19.2345,59.81,90,8,6.93
38,Upernavik,GL,2022-04-03 21:54:38,72.7868,-56.1549,15.53,84,65,4.9
39,North Bend,US,2022-04-03 22:00:28,43.4065,-124.2243,60.93,59,100,13.94
40,Busselton,AU,2022-04-03 22:02:27,-33.65,115.3333,60.85,82,30,14.2
41,The Valley,AI,2022-04-03 22:02:20,18.217,-63.0578,79.11,67,3,16.82
42,Atuona,PF,2022-04-03 22:02:28,-9.8,-139.0333,79.88,72,52,21.45
43,Tarancon,ES,2022-04-03 22:02:28,40.0085,-3.0073,35.11,45,62,13.65
44,Porto Santo,PT,2022-04-03 22:03:28,33.072,-16.3415,61.18,67,75,29.93
45,Tasiilaq,GL,2022-04-03 21:54:34,65.6145,-37.6368,16.02,94,95,6.08
