,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Wanning,18.8003,110.3967,68.47,81,91,8.41,CN,overcast clouds
1,Saint-Augustin,51.226,-58.6502,29.59,83,18,6.67,CA,few clouds
2,Beloha,-25.1667,45.05,82.02,58,5,16.22,MG,clear sky
3,Nikolskoye,59.7035,30.7861,40.91,68,100,9.48,RU,overcast clouds
4,Hobart,-42.8794,147.3294,59.25,81,75,5.75,AU,broken clouds
5,Hilo,19.7297,-155.09,69.53,86,75,6.91,US,broken clouds
6,Rikitea,-23.1203,-134.9692,77.49,63,24,10.45,PF,few clouds
7,Xam Nua,20.4197,104.0439,57.34,82,10,2.64,LA,clear sky
8,Mataura,-46.1927,168.8643,49.42,97,100,2.55,NZ,overcast clouds
9,Bluff,-46.6,168.3333,54.5,85,100,6.26,NZ,overcast clouds
10,Punta Arenas,-53.15,-70.9167,41.02,81,75,21.85,CL,light intensity shower rain
11,New Norfolk,-42.7826,147.0587,58.91,72,90,1.99,AU,light rain
12,Port Augusta,-32.5,137.7667,67.03,31,0,5.46,AU,clear sky
13,Upernavik,72.7868,-56.1549,23.11,76,99,2.75,GL,overcast clouds
14,Port Alfred,-33.5906,26.891,70.18,82,0,7.0,ZA,clear sky
15,Sulangan,11.1373,123.7228,81.54,82,100,18.19,PH,light rain
16,Hambantota,6.1241,81.1185,80.67,75,59,4.7,LK,broken clouds
17,Kungurtug,50.5994,97.5228,30.45,93,88,2.13,RU,overcast clouds
18,East London,-33.0153,27.9116,76.14,69,0,9.22,ZA,clear sky
19,Torbay,47.6666,-52.7314,45.88,65,75,12.66,CA,broken clouds
20,Saint-Philippe,-21.3585,55.7679,80.19,85,100,14.03,RE,overcast clouds
21,Kapaa,22.0752,-159.319,73.11,84,40,18.41,US,scattered clouds
22,Kruisfontein,-34.0033,24.7314,72.88,60,0,18.92,ZA,clear sky
23,Chapais,49.7834,-74.8492,24.58,78,15,6.6,CA,few clouds
24,Tautira,-17.7333,-149.15,81.61,77,58,13.22,PF,light rain
25,Mersing,2.4312,103.8405,80.51,89,28,3.44,MY,scattered clouds
26,Talnakh,69.4865,88.3972,7.21,93,14,7.05,RU,few clouds
27,Pevek,69.7008,170.3133,-19.84,97,31,2.42,RU,scattered clouds
28,Ushuaia,-54.8,-68.3,40.62,87,40,16.11,AR,scattered clouds
29,Cotonou,6.3654,2.4183,87.15,67,93,11.92,BJ,overcast clouds
30,Busselton,-33.65,115.3333,58.19,68,0,13.82,AU,clear sky
31,Paraiso,9.8383,-83.8656,71.96,86,99,3.74,CR,overcast clouds
32,Oum Hadjer,13.2954,19.6966,106.34,8,22,4.59,TD,few clouds
33,Bojnurd,37.4747,57.329,85.95,11,0,6.91,IR,clear sky
34,Takaka,-40.85,172.8,59.56,52,60,4.9,NZ,broken clouds
35,Ilulissat,69.2167,-51.1,35.62,44,20,16.11,GL,few clouds
36,Saint George,37.1041,-113.5841,48.79,49,0,4.61,US,clear sky
37,Pleasanton,37.6624,-121.8747,53.64,88,0,1.01,US,clear sky
38,Phalodi,27.1333,72.3667,92.84,6,28,9.91,IN,scattered clouds
39,Karari,25.45,81.4333,92.7,4,0,6.76,IN,clear sky
40,New Braunfels,29.703,-98.1245,70.54,88,100,5.75,US,overcast clouds
41,Mandali,33.7499,45.5541,90.7,9,0,16.11,IQ,clear sky
42,Cape Town,-33.9258,18.4232,70.88,72,20,11.01,ZA,few clouds
43,Itarema,-2.9248,-39.9167,83.79,73,95,11.52,BR,overcast clouds
44,San Vicente,-26.6167,-54.1333,66.94,100,100,1.03,AR,overcast clouds
45,Tiksi,71.6872,128.8694,-4.72,100,100,3.44,RU,overcast clouds
46,Souillac,-20.5167,57.5167,80.98,78,75,11.5,MU,broken clouds
47,Sept-Iles,50.2001,-66.3821,30.72,51,75,6.91,CA,broken clouds
48,Longyearbyen,78.2186,15.6401,10.24,61,18,17.27,SJ,few clouds
49,Caravelas,-17.7125,-39.2481,85.86,57,16,6.35,BR,few clouds
50,Jamestown,42.097,-79.2353,35.71,68,0,4.61,US,clear sky
51,Jumla,29.2747,82.1838,52.05,34,0,5.73,NP,clear sky
52,Strezhevoy,60.7333,77.5889,35.04,100,100,9.22,RU,overcast clouds
53,High Prairie,55.4334,-116.4858,30.29,89,89,2.3,CA,overcast clouds
54,Huilong,31.8111,121.655,52.93,75,100,11.14,CN,overcast clouds
55,Acapulco,16.8634,-99.8901,76.33,60,1,2.62,MX,clear sky
56,Cherskiy,68.75,161.3,-21.39,100,59,2.15,RU,broken clouds
57,Faanui,-16.4833,-151.75,82.0,75,100,17.2,PF,overcast clouds
58,Lorengau,-2.0226,147.2712,80.13,83,100,7.4,PG,overcast clouds
59,Yulara,-25.2406,130.9889,69.64,26,0,4.61,AU,clear sky
60,Atuona,-9.8,-139.0333,79.41,74,18,24.7,PF,few clouds
61,Fukagawa,43.7081,142.0392,34.21,77,0,5.28,JP,clear sky
62,Meghri,38.9029,46.2446,73.08,33,41,2.77,AM,scattered clouds
63,Georgetown,5.4112,100.3354,81.95,93,40,8.05,MY,moderate rain
64,Bredasdorp,-34.5322,20.0403,73.94,44,1,21.65,ZA,clear sky
65,Teguldet,57.3064,88.1667,32.09,97,100,6.8,RU,overcast clouds
66,Muros,42.7762,-9.0603,57.69,48,7,14.2,ES,clear sky
67,Umm Lajj,25.0213,37.2685,80.49,58,100,5.64,SA,overcast clouds
68,Eureka,40.8021,-124.1637,48.92,78,100,4.0,US,moderate rain
69,Kumbo,6.2,10.6667,80.58,35,97,4.12,CM,overcast clouds
70,Hermanus,-34.4187,19.2345,70.81,69,5,19.46,ZA,clear sky
71,Esperance,-33.8667,121.9,58.84,75,84,20.98,AU,broken clouds
72,Opuwo,-18.0607,13.84,84.49,34,0,9.37,NA,clear sky
73,Tempio Pausania,40.8974,9.1035,50.92,44,100,10.78,IT,overcast clouds
74,Balezino,57.9796,53.0106,31.78,88,100,9.4,RU,light snow
75,Padilla,3.2204,-76.3139,71.17,73,51,2.95,CO,broken clouds
76,Te Anau,-45.4167,167.7167,54.99,87,100,2.33,NZ,overcast clouds
77,Yellowknife,62.456,-114.3525,21.42,81,75,10.36,CA,broken clouds
78,Leningradskiy,69.3833,178.4167,-14.01,100,100,2.84,RU,overcast clouds
79,San Patricio,28.017,-97.5169,75.29,83,99,12.62,US,overcast clouds
80,Carnarvon,-24.8667,113.6333,77.07,83,0,16.11,AU,clear sky
81,Barrow,71.2906,-156.7887,-3.98,77,100,11.5,US,light snow
82,Wilmington,34.2257,-77.9447,60.01,53,41,3.0,US,scattered clouds
83,Ribeira Grande,38.5167,-28.7,64.8,68,40,11.5,PT,scattered clouds
84,Naze,28.3667,129.4833,54.52,53,0,7.23,JP,clear sky
85,Port Hedland,-20.3167,118.5667,82.45,78,0,10.36,AU,clear sky
86,Norman Wells,65.282,-126.8329,-9.36,77,75,9.22,CA,broken clouds
87,Mandalgovi,45.7625,106.2708,41.61,40,4,13.35,MN,clear sky
88,Prainha,-1.8,-53.48,73.89,98,100,2.06,BR,moderate rain
89,Bathsheba,13.2167,-59.5167,83.01,61,40,18.41,BB,scattered clouds
90,Salalah,17.0151,54.0924,84.29,74,0,8.05,OM,clear sky
91,Mecca,21.4267,39.8261,94.89,18,96,14.88,SA,overcast clouds
92,Dikson,73.5069,80.5464,-3.32,96,11,6.96,RU,few clouds
93,Stockton-On-Tees,54.5685,-1.3187,57.96,70,40,21.85,GB,scattered clouds
94,Aksarka,66.5606,67.7975,27.43,96,100,9.86,RU,light snow
95,Puerto Ayora,-0.7393,-90.3518,79.56,92,100,1.01,EC,overcast clouds
96,Sinnamary,5.3833,-52.95,79.18,85,97,12.88,GF,moderate rain
97,Fort Nelson,58.8053,-122.7002,26.19,86,100,0.0,CA,overcast clouds
98,Pangnirtung,66.1451,-65.7125,15.8,86,100,10.36,CA,light snow
99,Avarua,-21.2078,-159.775,73.45,100,75,2.3,CK,broken clouds
100,Ayorou,14.7308,0.9174,107.28,8,100,5.91,NE,overcast clouds
101,Oussouye,12.485,-16.5469,89.78,24,5,10.58,SN,clear sky
102,Nome,64.5011,-165.4064,12.27,52,0,13.8,US,clear sky
103,Yerbogachen,61.2767,108.0108,8.08,97,99,4.09,RU,overcast clouds
104,Castro,-24.7911,-50.0119,76.59,66,13,8.59,BR,few clouds
105,Basco,20.4487,121.9702,75.02,74,97,28.83,PH,overcast clouds
106,Luderitz,-26.6481,15.1594,66.38,65,0,10.58,NA,clear sky
107,Puerto Escondido,15.85,-97.0667,80.85,57,0,3.74,MX,clear sky
108,Kyrylivka,46.3759,35.3675,45.03,56,91,18.75,UA,overcast clouds
109,Nador,35.174,-2.9287,57.27,94,100,6.91,MA,mist
110,Jasa Tomic,45.4469,20.8553,49.1,39,62,2.04,RS,broken clouds
111,Den Helder,52.9599,4.7593,48.18,94,100,23.02,NL,mist
112,Maniitsoq,65.4167,-52.9,31.93,69,21,3.51,GL,few clouds
113,Mayumba,-3.432,10.6554,84.2,70,95,7.34,GA,light rain
114,La Ronge,55.1001,-105.2842,30.45,74,75,10.36,CA,broken clouds
115,Aripuana,-9.1667,-60.6333,79.03,89,89,2.75,BR,overcast clouds
116,Karratha,-20.7377,116.8463,84.54,62,33,11.48,AU,scattered clouds
117,Pangkalanbuun,-2.6833,111.6167,75.29,94,81,2.51,ID,moderate rain
118,Hamilton,39.1834,-84.5333,47.23,72,100,10.36,US,overcast clouds
119,Coihaique,-45.5752,-72.0662,49.95,76,75,3.44,CL,broken clouds
120,Fortuna,40.5982,-124.1573,48.65,91,100,14.97,US,moderate rain
121,Gaziantep,37.0594,37.3825,69.73,30,0,12.66,TR,clear sky
122,Peniche,39.3558,-9.3811,63.1,36,100,18.5,PT,overcast clouds
123,Chokurdakh,70.6333,147.9167,-13.07,97,53,8.59,RU,broken clouds
124,Saint-Louis,16.3333,-15.0,91.08,20,0,13.44,SN,clear sky
125,Qaanaaq,77.484,-69.3632,17.58,73,100,9.13,GL,overcast clouds
126,Severo-Kurilsk,50.6789,156.125,31.55,74,4,5.79,RU,clear sky
127,Gat,31.61,34.7642,87.4,28,2,15.03,IL,clear sky
128,San Quintin,30.4833,-115.95,57.38,85,33,7.85,MX,scattered clouds
129,Husavik,66.0449,-17.3389,26.35,83,100,15.73,IS,light snow
130,Spearfish,44.4908,-103.8594,48.11,34,0,1.01,US,clear sky
131,Ancud,-41.8697,-73.8203,53.22,87,100,5.35,CL,overcast clouds
132,Abu Kamal,34.4506,40.9171,84.54,12,58,17.72,SY,broken clouds
133,Kahului,20.8947,-156.47,73.85,66,40,13.8,US,scattered clouds
134,Henties Bay,-22.116,14.2845,65.01,69,0,13.0,NA,clear sky
135,Zhob,31.3411,69.4481,77.4,6,1,1.95,PK,clear sky
136,Muisne,0.6,-80.0333,78.94,80,98,6.29,EC,overcast clouds
137,Conakry,9.538,-13.6773,86.07,66,9,13.8,GN,haze
138,Jutai,-5.1833,-68.9,83.88,62,18,1.32,BR,few clouds
139,Harper,4.375,-7.7169,85.51,70,100,9.91,LR,overcast clouds
140,Emba,48.8264,58.1442,50.95,81,100,6.82,KZ,overcast clouds
141,Port Elizabeth,-33.918,25.5701,75.09,78,20,24.16,ZA,few clouds
142,Kodiak,57.79,-152.4072,33.31,60,100,9.22,US,overcast clouds
143,Isangel,-19.55,169.2667,79.47,84,68,6.67,VU,broken clouds
144,Sao Jose Da Coroa Grande,-8.8978,-35.1478,83.95,60,4,8.37,BR,clear sky
145,Rocha,-34.4833,-54.3333,68.5,38,1,10.42,UY,clear sky
146,Sabalgarh,26.25,77.4,92.17,6,0,5.97,IN,clear sky
147,Derbent,42.0678,48.2899,52.74,62,96,14.7,RU,overcast clouds
148,Zonguldak,41.25,31.8333,48.65,73,98,5.75,TR,overcast clouds
149,Crewe,53.0979,-2.4416,54.84,82,100,11.99,GB,overcast clouds
150,Halifax,44.6453,-63.5724,34.68,96,100,10.0,CA,moderate rain
151,Svetlaya,46.5389,138.3297,36.28,92,30,7.92,RU,scattered clouds
152,Sainte-Anne,16.2333,-61.3667,82.44,57,20,16.11,GP,few clouds
153,Anadyr,64.75,177.4833,-5.3,77,40,4.47,RU,scattered clouds
154,Rivne,50.6231,26.2274,41.77,40,100,14.25,UA,overcast clouds
155,Tilichiki,60.4667,166.1,8.78,94,49,4.5,RU,scattered clouds
156,Formosa,-26.1775,-58.1781,71.58,94,100,11.5,AR,overcast clouds
157,Campbell River,50.0163,-125.2446,43.45,93,40,3.44,CA,scattered clouds
158,Susanino,58.1461,41.5872,32.13,77,100,2.66,RU,overcast clouds
159,Juneau,58.3019,-134.4197,36.21,95,100,5.75,US,overcast clouds
160,Port Hardy,50.6996,-127.4199,41.0,87,100,8.05,CA,light rain
161,Notse,6.95,1.1667,95.95,41,100,5.08,TG,overcast clouds
162,Mareeba,-17.0,145.4333,74.12,95,31,1.74,AU,scattered clouds
163,Vaini,-21.2,-175.2,73.56,100,75,8.05,TO,broken clouds
164,Chuy,-33.6971,-53.4616,65.1,73,100,9.1,UY,overcast clouds
165,Marshall,34.3834,-86.3333,58.28,59,0,5.75,US,clear sky
166,Hithadhoo,-0.6,73.0833,84.15,65,99,3.0,MV,overcast clouds
167,Albany,42.6001,-73.9662,43.75,64,54,3.0,US,broken clouds
168,Makurdi,7.7411,8.5121,105.78,22,50,3.78,NG,scattered clouds
169,Nioro,13.35,-15.75,96.04,14,16,8.75,GM,few clouds
170,Chernyshevskiy,63.0128,112.4714,9.23,92,100,5.37,RU,overcast clouds
171,Veinticinco De Diciembre,25.2602,-104.0519,66.25,29,42,3.42,MX,scattered clouds
172,Siderno,38.2779,16.302,61.34,67,100,8.5,IT,overcast clouds
173,Pandharpur,17.6667,75.3333,99.72,14,58,7.72,IN,broken clouds
174,Aykhal,66.0,111.5,2.86,98,100,6.42,RU,overcast clouds
175,Daura,11.5538,11.4085,103.62,5,28,5.77,NG,scattered clouds
176,Santa Isabel Do Rio Negro,-0.4139,-65.0192,81.36,73,97,3.02,BR,overcast clouds
177,Watsa,3.0372,29.5355,89.78,30,91,4.47,CD,overcast clouds
178,Sao Joao Da Barra,-21.6403,-41.0511,82.49,71,1,5.14,BR,clear sky
179,Biak,-0.9131,122.8766,76.95,84,97,3.53,ID,overcast clouds
180,Gigmoto,13.7796,124.39,79.2,90,100,13.87,PH,overcast clouds
181,Geraldton,-28.7667,114.6,72.01,78,10,12.66,AU,clear sky
182,Saldanha,-33.0117,17.9442,71.65,76,13,12.77,ZA,light rain
183,Mabaruma,8.2,-59.7833,80.33,81,74,3.96,GY,broken clouds
184,Tuatapere,-46.1333,167.6833,54.0,87,100,4.45,NZ,moderate rain
185,Hofn,64.2539,-15.2082,33.82,55,100,12.66,IS,overcast clouds
186,Iqaluit,63.7506,-68.5145,8.33,71,20,15.01,CA,few clouds
187,Puerto Gaitan,4.3133,-72.0816,75.09,90,100,4.41,CO,overcast clouds
188,Beringovskiy,63.05,179.3167,-10.75,97,99,10.22,RU,overcast clouds
189,Yucca Valley,34.1142,-116.4322,62.06,33,0,5.01,US,clear sky
190,Marawi,7.9986,124.2928,69.08,97,100,0.89,PH,overcast clouds
191,Quatre Cocos,-20.2078,57.7625,80.71,78,100,13.35,MU,overcast clouds
192,Airai,-8.9266,125.4092,59.7,93,22,1.25,TL,few clouds
193,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,75,8.05,CA,light snow
194,Mahebourg,-20.4081,57.7,80.89,78,75,11.5,MU,broken clouds
195,Fare,-16.7,-151.0167,81.79,74,97,16.22,PF,overcast clouds
196,Constitucion,-35.3333,-72.4167,57.4,50,8,7.52,CL,clear sky
197,Hayden,47.766,-116.7866,40.55,92,100,12.66,US,light rain
198,Saint-Francois,46.4154,3.9054,48.42,46,0,3.44,FR,clear sky
199,Mackay,-21.15,149.2,73.38,88,75,8.05,AU,broken clouds
200,Uray,60.1247,64.7758,35.04,100,100,4.5,RU,overcast clouds
201,Idaho Falls,43.4666,-112.0341,44.85,37,0,11.01,US,clear sky
202,Codrington,-38.2667,141.9667,53.02,83,25,1.77,AU,scattered clouds
203,Champerico,14.3,-91.9167,75.74,68,48,5.93,GT,scattered clouds
204,Lebu,-37.6167,-73.65,55.53,67,8,16.51,CL,clear sky
205,Raga,8.4596,25.678,96.69,23,100,1.86,SS,overcast clouds
